timestamp,latitude,longitude,pm2_5_ug_m3,pm10_ug_m3,co2_ppm,temperature_c,humidity_percent,wind_speed_m_s
2026-08-08 06:00:00,19.05028,73.06907,48.5,77.3,558.8,28.1,80.1,2.6
2026-08-08 06:10:00,19.044149,73.066472,32.8,59.5,380.1,26.4,63.9,3.5
2026-08-08 06:20:00,19.041852,73.061426,56.7,91.8,462.6,32.6,75.2,3.3
2026-08-08 06:30:00,19.044207,73.066298,51.5,80.2,441.9,31.2,71.9,2.0
2026-08-08 06:40:00,19.052235,73.062575,44.1,80.6,380.0,27.9,79.1,2.1
2026-08-08 06:50:00,19.0378,73.074542,36.6,62.8,493.9,24.0,74.6,2.8
2026-08-08 07:00:00,19.043238,73.07357,52.3,102.7,526.2,27.1,67.0,1.5
2026-08-08 07:10:00,19.053898,73.068834,37.9,64.2,519.7,30.2,71.4,4.3
2026-08-08 07:20:00,19.04947,73.066029,45.6,89.5,559.6,33.0,64.6,2.8
2026-08-08 07:30:00,19.046935,73.061387,52.4,94.6,462.9,28.2,83.8,2.6
2026-08-08 07:40:00,19.042449,73.066889,51.2,101.4,493.1,30.2,73.4,2.9
2026-08-08 07:50:00,19.051339,73.06836,38.3,67.3,491.3,28.0,72.0,2.9
2026-08-08 08:00:00,19.038808,73.067376,38.6,79.7,430.9,27.9,55.8,2.2
2026-08-08 08:10:00,19.055724,73.069789,25.3,42.5,478.3,32.4,70.5,3.5
2026-08-08 08:20:00,19.047092,73.062888,53.4,87.8,516.4,25.9,83.1,4.7
2026-08-08 08:30:00,19.055654,73.064616,42.8,85.6,420.5,26.4,72.8,2.6
2026-08-08 08:40:00,19.037996,73.070311,31.4,60.1,501.0,28.7,70.7,2.8
2026-08-08 08:50:00,19.041987,73.06776,47.6,90.2,487.5,30.1,59.1,3.4
2026-08-08 09:00:00,19.048859,73.074591,29.6,57.4,402.4,28.7,81.7,3.4
2026-08-08 09:10:00,19.052384,73.070949,29.8,57.1,409.5,28.8,64.2,4.1
2026-08-08 09:20:00,19.054252,73.064976,51.6,97.8,497.7,25.8,73.2,1.7
2026-08-08 09:30:00,19.042669,73.075172,39.6,74.4,475.7,30.4,69.9,6.2
2026-08-08 09:40:00,19.051054,73.064757,31.3,64.6,501.5,27.3,77.9,2.7
2026-08-08 09:50:00,19.051962,73.076173,38.6,65.2,486.8,25.0,73.4,3.6
2026-08-08 10:00:00,19.041997,73.070822,42.6,86.3,412.1,29.2,80.5,2.1
2026-08-08 10:10:00,19.055592,73.075331,36.0,71.4,503.3,33.0,76.6,4.4
2026-08-08 10:20:00,19.053024,73.073808,38.8,67.0,516.7,27.8,65.2,3.2
2026-08-08 10:30:00,19.044092,73.059169,45.6,84.5,449.0,29.7,72.5,2.0
2026-08-08 10:40:00,19.043008,73.073978,34.7,53.1,486.9,32.3,86.7,4.7
2026-08-08 10:50:00,19.052273,73.069991,46.4,78.6,438.6,29.2,65.7,3.1
2026-08-08 11:00:00,19.05033,73.075095,30.0,47.8,456.6,28.1,59.1,4.2
2026-08-08 11:10:00,19.054898,73.072164,58.5,109.2,391.4,26.5,82.1,2.4
2026-08-08 11:20:00,19.049963,73.074548,32.7,58.8,471.7,24.9,71.2,1.0
2026-08-08 11:30:00,19.039499,73.079158,55.2,84.4,554.3,24.6,81.3,3.2
2026-08-08 11:40:00,19.041411,73.072673,44.0,66.7,442.0,28.8,73.0,1.1
2026-08-08 11:50:00,19.054983,73.066209,63.1,115.3,466.7,28.7,74.2,2.5
2026-08-08 12:00:00,19.046051,73.066942,36.1,56.7,521.7,29.4,83.6,3.6
2026-08-08 12:10:00,19.050788,73.066122,50.8,81.6,516.1,28.7,71.8,3.3
2026-08-08 12:20:00,19.054966,73.066351,47.5,95.7,463.9,30.6,68.5,2.8
2026-08-08 12:30:00,19.04887,73.069973,51.3,102.4,512.5,26.9,74.6,3.1
2026-08-08 12:40:00,19.047882,73.073471,33.8,56.7,590.1,29.9,62.4,4.0
2026-08-08 12:50:00,19.051302,73.065705,41.9,76.7,528.6,27.2,65.4,2.8
2026-08-08 13:00:00,19.049778,73.066518,33.8,52.4,488.4,26.6,73.6,3.8
2026-08-08 13:10:00,19.052535,73.076826,37.2,77.0,435.5,27.1,74.5,4.8
2026-08-08 13:20:00,19.052446,73.06894,41.8,63.0,419.9,26.1,71.6,4.6
2026-08-08 13:30:00,19.051925,73.072856,42.9,74.0,513.0,26.7,73.8,3.2
2026-08-08 13:40:00,19.047886,73.065262,42.2,79.3,502.4,26.6,86.9,4.5
2026-08-08 13:50:00,19.058197,73.069234,51.8,96.9,428.8,26.3,55.0,2.6
2026-08-08 14:00:00,19.042745,73.070802,45.4,76.6,578.2,28.6,79.8,4.0
2026-08-08 14:10:00,19.05616,73.074101,40.7,82.2,539.9,26.6,58.3,4.7
